epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6701.94,0.61242,0.41699,0.95688,0.99605,0.99725,0.99497,0.92138,0.51026,0.32226,1.14092,0.000821206,0.000821206,0.000821206
43,6855.58,0.6168,0.42686,0.95761,0.99132,0.99176,0.99463,0.89389,0.61328,0.38899,1.17318,0.000800577,0.000800577,0.000800577
44,7008.79,0.61236,0.42264,0.94729,0.99565,0.99451,0.99489,0.91511,0.52235,0.3594,1.13715,0.000779948,0.000779948,0.000779948
45,7159.95,0.59289,0.41421,0.95196,0.99933,0.99139,0.99492,0.88916,0.55936,0.36576,1.13279,0.000759318,0.000759318,0.000759318
46,7313.15,0.59404,0.4113,0.95148,0.99894,0.99725,0.995,0.93879,0.46082,0.34866,1.12093,0.000738689,0.000738689,0.000738689
47,7466.37,0.58022,0.40049,0.94767,0.99891,0.99725,0.995,0.91001,0.50406,0.32611,1.1339,0.00071806,0.00071806,0.00071806
48,7616.21,0.57276,0.39631,0.94279,0.99887,0.99704,0.995,0.94503,0.47399,0.31514,1.11964,0.000697431,0.000697431,0.000697431
49,7765.08,0.55729,0.38998,0.93202,0.99284,0.99685,0.99489,0.917,0.47357,0.29511,1.10504,0.000676802,0.000676802,0.000676802
50,7913.89,0.56507,0.38985,0.93364,0.99802,0.9943,0.99495,0.92485,0.48852,0.36225,1.12663,0.000656173,0.000656173,0.000656173
51,9095.1,0.55294,0.37578,0.91757,0.99513,0.99694,0.99495,0.94927,0.41668,0.30224,1.09368,0.000635544,0.000635544,0.000635544
52,9281.37,0.5469,0.37553,0.918,0.9954,0.99703,0.99495,0.89099,0.56129,0.32639,1.11858,0.000614915,0.000614915,0.000614915
53,9764.67,0.53797,0.37017,0.91688,0.99837,0.99451,0.99495,0.94827,0.43493,0.2962,1.09275,0.000594286,0.000594286,0.000594286
54,9915.89,0.50742,0.35588,0.91613,0.99562,0.99705,0.99497,0.94699,0.43073,0.28977,1.09685,0.000573656,0.000573656,0.000573656
55,10068.4,0.52647,0.36573,0.91925,0.99904,0.99709,0.995,0.93543,0.45667,0.28852,1.09903,0.000553027,0.000553027,0.000553027
56,10225.8,0.50986,0.35833,0.91509,0.99607,0.99725,0.99495,0.96123,0.37682,0.29716,1.08395,0.000532398,0.000532398,0.000532398
57,10382.7,0.50072,0.34284,0.9022,0.99616,0.99725,0.99497,0.97105,0.34562,0.2893,1.07307,0.000511769,0.000511769,0.000511769
58,10539.2,0.50078,0.34985,0.90629,0.99855,0.99725,0.995,0.95244,0.41164,0.29144,1.08924,0.00049114,0.00049114,0.00049114
59,10695.4,0.49676,0.34732,0.90184,0.99919,0.99725,0.995,0.93575,0.43912,0.27973,1.11331,0.000470511,0.000470511,0.000470511
60,10852.6,0.49841,0.3466,0.91131,0.99934,0.9972,0.995,0.95713,0.39018,0.27585,1.09321,0.000449882,0.000449882,0.000449882
61,11013.4,0.49112,0.34981,0.90905,0.99907,0.99451,0.99497,0.96787,0.37035,0.27263,1.06967,0.000429253,0.000429253,0.000429253
62,11169.3,0.46382,0.33049,0.89829,0.99646,0.99725,0.995,0.97684,0.32068,0.27298,1.05759,0.000408623,0.000408623,0.000408623
63,11320.7,0.44997,0.32523,0.88856,0.99832,0.99725,0.995,0.98176,0.31908,0.25061,1.07182,0.000387994,0.000387994,0.000387994
